/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 578, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 666, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 677, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 696, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 738, Did you mean to return a conditional instead of an assignment?
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 745, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 811, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 854, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 868, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 940, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1102, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1113, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1180, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1278, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1289, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1297, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1304, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1373, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1394, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1395, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1405, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1515, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1601, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1660, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1742, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1750, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1751, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1758, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1786, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1799, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1940, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1941, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 1957, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2035, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2142, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2162, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2163, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2223, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2378, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2418, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2428, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2495, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2669, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2670, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 2670, Too many errors. (50% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 188, col 13, Bad line breaking before '&&'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 202, col 17, Bad line breaking before '*'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 210, col 74, A leading decimal point can be confused with a dot: '.5'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 210, col 105, A leading decimal point can be confused with a dot: '.5'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 230, col 41, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 245, col 44, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 260, col 37, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 266, col 93, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 285, col 34, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 286, col 30, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 150, col 30, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 291, col 26, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 303, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 64, col 23, 'obj' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drop-2.2.js: line 114, col 20, 'results' is defined but never used.

15 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 31, col 2, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 126, col 16, 'el' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 49, col 69, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 57, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 58, col 19, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 62, col 46, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 63, col 20, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 64, col 19, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 73, col 67, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 78, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 80, col 23, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 85, col 23, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 92, col 20, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 93, col 19, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 119, col 28, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 121, col 28, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 122, col 28, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 151, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 55, col 26, 'relatedTarget' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 113, col 17, 'self' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.simulate.js: line 112, col 22, 'el' is defined but never used.

21 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 21, col 27, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 211, col 24, 'li' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 227, col 29, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 417, col 22, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 530, col 14, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 806, col 22, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 911, col 6, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 914, col 6, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 924, col 6, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 932, col 6, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 942, col 4, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 943, col 4, Mixed spaces and tabs.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 135, col 21, 'start' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 151, col 104, 'reset' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 165, col 27, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 171, col 30, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 173, col 36, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 185, col 25, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 211, col 26, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 315, col 21, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 343, col 13, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 344, col 13, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 345, col 13, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 358, col 14, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 359, col 21, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 426, col 12, 'exports' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 427, col 5, 'exports' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 430, col 41, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 444, col 31, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 451, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 456, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 465, col 21, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 470, col 23, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 475, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 484, col 17, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 541, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 602, col 13, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 624, col 9, 'ok' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 630, col 9, 'ok' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 651, col 44, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 651, col 61, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 652, col 9, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 653, col 9, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 654, col 9, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 656, col 33, 'opera' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 657, col 9, 'opera' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 680, col 50, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 680, col 62, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 681, col 9, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 375, col 35, 'total' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/qunit.js: line 375, col 35, Too many errors. (35% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/firebugx.js: line 9, col 3, Don't make functions within a loop.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/firebugx.js: line 8, col 45, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/firebugx.js: line 2, col 46, 'console' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/firebugx.js: line 6, col 3, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/firebugx.js: line 8, col 5, 'window' is not defined.

5 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 113, col 26, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 180, col 39, Expected a 'break' statement before 'case'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 188, col 39, Expected a 'break' statement before 'case'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 191, col 39, Expected a 'break' statement before 'case'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 203, col 17, Expected a 'break' statement before 'case'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 206, col 27, Expected a 'break' statement before 'default'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 245, col 43, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 284, col 14, Don't make functions within a loop.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 294, col 28, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 388, col 17, Bad line breaking before '||'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 389, col 17, Bad line breaking before '||'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 155, col 25, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 211, col 36, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 342, col 12, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 345, col 9, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 403, col 5, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 61, col 50, 'def' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.event.drag-2.2.js: line 236, col 39, '$elems' is defined but never used.

18 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 11, col 208, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 11, col 299, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 11, col 438, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 11, col 447, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 52, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 53, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 57, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 93, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 268, Wrap the /regexp/ literal in parens to disambiguate the slash operator.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 440, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 13, col 488, Wrap the /regexp/ literal in parens to disambiguate the slash operator.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 75, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 90, Wrap the /regexp/ literal in parens to disambiguate the slash operator.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 149, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 401, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 414, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 14, col 424, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 15, col 67, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 15, col 69, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 15, col 140, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 15, col 389, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 15, col 400, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 183, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 185, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 337, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 339, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 340, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 408, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 16, col 472, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 17, col 48, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 17, col 330, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 17, col 469, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 18, col 97, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 18, col 98, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 18, col 216, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 18, col 396, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 18, col 442, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 19, col 23, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 19, col 26, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 20, col 1, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 96, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 140, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 155, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 156, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 349, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 389, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 391, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 392, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-ui-1.8.16.custom.min.js: line 29, col 491, Missing semicolon.
